Role,Level,Skills,Next_Step,Projects
Data Analyst,Intermediate,"Pandas (Data Cleaning, GroupBy, Merge), Data Visualization (Matplotlib, Seaborn), Power BI/Tableau, SQL Advanced (Window Functions, CTE), EDA (Exploratory Data Analysis), Dashboard Design, Business Insights, KPI Metrics, Reporting","Build Interactive Dashboards"
Data Analyst,Advanced,"Advanced Statistics, Predictive Analytics, Machine Learning Basics, A/B Testing, Data Modeling, Time Series Analysis, Big Data Basics (Spark), Data Warehousing, ETL Pipelines, Storytelling with Data, Business Strategy","Apply for Data Analyst / Senior Roles"

AI Engineer,Beginner,"Python Programming (Data Types, Loops, Functions, OOP Basics), Math Essentials (Linear Algebra, Probability, Statistics, Matrices), Data Preprocessing (Missing Values, Normalization, Scaling), NumPy (Arrays, Matrix Operations, Broadcasting), Pandas (Series, DataFrame, Filtering, GroupBy, Merging), Data Visualization (Matplotlib, Seaborn, Plotly Basics), Exploratory Data Analysis (EDA), Basics of Machine Learning (Supervised, Unsupervised), Feature Engineering (Encoding, Scaling, Feature Selection), File Handling (CSV, Excel), JSON Handling, Working with APIs, Basic CLI Programs, Virtual Environments, Debugging & Logging, Version Control (Git)","Learn Machine Learning + Solve Real Problems","Titanic Survival Prediction (ML), Iris Classification, House Price Prediction, Customer Segmentation (Clustering), Spam Detection (Text Classification), Basic Stock Trend Prediction, Weather Data Analysis, Loan Eligibility Prediction, Simple Chatbot (Rule-Based), Mini NLP Sentiment Analysis"
AI Engineer,Intermediate,"Supervised Learning (Linear Regression, Logistic Regression, Decision Trees, Random Forest, XGBoost), Unsupervised Learning (K-Means, Hierarchical, PCA), Model Evaluation Metrics (Accuracy, Precision, Recall, F1-Score, ROC-AUC), Deep Learning Basics (Artificial Neural Networks - ANN), Convolutional Neural Networks (CNN) for Images, Recurrent Neural Networks (RNN, LSTM) for Sequential Data, Natural Language Processing (Tokenization, Bag-of-Words, TF-IDF), Feature Engineering Advanced (Polynomial Features, Interaction Terms, Dimensionality Reduction), Hyperparameter Tuning (GridSearchCV, RandomizedSearchCV), Data Augmentation, Pipeline Automation, Model Serialization (Pickle, Joblib), TensorFlow/PyTorch Basics, Keras API, Cross-Validation Techniques, Deployment Basics (Flask APIs, Streamlit Dashboards), Git & Version Control, Unit Testing for ML","Build AI Projects + Intermediate Models + Deployment","E-commerce Product Recommendation System, Customer Churn Prediction, Stock Price Predictor (LSTM), MNIST Digit Recognition (CNN), Sentiment Analysis (Movie Reviews), Spam Email Classifier, Handwritten Digit OCR, Fake News Detection, Employee Attrition Prediction, Image Classification App (Cats vs Dogs), Movie Rating Prediction (Regression), Mini Chatbot (NLP + ML), Sales Forecasting Dashboard"
AI Engineer,Advanced,"Advanced Deep Learning Architectures (CNN, RNN, LSTM, GRU, GANs, Transformers), NLP Advanced (Word Embeddings, Transformers, BERT, GPT, Text Summarization, NER), Computer Vision (Object Detection, Image Segmentation, YOLO, OpenCV), Reinforcement Learning Basics, Hyperparameter Optimization (Bayesian Optimization, Hyperopt), Model Deployment & APIs (Flask, FastAPI, Streamlit), MLOps Concepts (CI/CD for ML, Model Versioning, Automated Testing), Docker & Kubernetes for ML Pipelines, Cloud Deployment (AWS Sagemaker, GCP AI Platform, Azure ML), Model Monitoring & Logging, Model Optimization (Pruning, Quantization), Scalable AI Systems, Data Pipelines & ETL for ML, Explainable AI (SHAP, LIME), Distributed Training, Multi-GPU Training, Time Series Advanced Techniques, Ensemble Learning, Transfer Learning, API Security & Authentication, Experiment Tracking (MLflow, Weights & Biases)","Apply for AI Engineer Roles + Build Production-Ready AI Systems","End-to-End ML Pipeline (Data → Model → Deployment → Monitoring), Transformer-based Text Summarization API, Chatbot using BERT/GPT, Real-Time Object Detection System, GAN Image Generation Project, AI-powered Recommendation Engine, Credit Card Fraud Detection System, Real-Time Face Recognition App, Time Series Forecasting Platform (Multi-step Prediction), Multi-class Image Classification with Transfer Learning, MLOps CI/CD Pipeline Project (Docker + Cloud Deployment), AI SaaS App, Speech Recognition API (Audio → Text), NLP Sentiment Analysis Dashboard, Autonomous Agent Simulation (Reinforcement Learning)"

Full Stack Developer,Beginner,"HTML5 (Semantic Tags, Forms, Tables, SEO Basics), CSS3 (Selectors, Box Model, Flexbox, Grid, Positioning, Media Queries, Responsive Design, Animations), JavaScript Basics (Variables, Datatypes, Operators, Functions, Loops, Events, DOM Manipulation, Arrays, Objects), Browser Basics (DOM, BOM, DevTools), Version Control (Git Basics), Responsive Design, Debugging Basics, Basic Accessibility (ARIA), Local Storage, JSON Handling, Fetch API, Event Handling, Forms and Validation, File Handling Basics, CLI Basics, Package Management (npm), Browser Compatibility, Code Readability (ESLint), Introduction to Node.js, Introduction to Express","Learn React + Backend + Build Mini Projects","Portfolio Website (HTML/CSS/JS), Calculator App, To-Do App, Notes App (LocalStorage), Quiz App, Weather App (API Integration), Personal Blog UI, Image Gallery, Simple Form Validator, CLI-Based Task Tracker"
Full Stack Developer,Intermediate,"React Core (Components, Props, State, Lifecycle Methods, Hooks - useState/useEffect/useRef/useContext), Advanced Hooks (Custom Hooks), React Router (Routing, Nested Routes), State Management (Context API, Redux Toolkit), Form Handling (Formik/React Hook Form), Validation (Yup), API Integration (Axios/Fetch, Async/Await, Error Handling), Authentication & Authorization (JWT), Protected Routes, Local Storage & Session Storage, Component Reusability, Code Splitting, Lazy Loading, Environment Variables, Unit Testing (Jest, React Testing Library), Debugging with React DevTools, Responsive UI (CSS/Frameworks), Node.js (Advanced), Express.js (Routing, Middleware, Error Handling), REST APIs, CRUD Operations, Database Integration (MongoDB/MySQL), Mongoose ORM, Query Optimization, Password Hashing (bcrypt), Email Integration, File Uploads (Multer), Logging (Winston/Morgan), Pagination, Filtering, Sorting, Docker Basics, Deployment Basics (Render/Heroku)","Build Full Stack Applications + Portfolio Projects","E-commerce Website (React + Node + MongoDB), Blog System (Auth + CRUD + Comments), Task Management App (CRUD + Filters + Sorting), Chat App (Socket.io), Notes App with Database, Weather Dashboard with API Integration, Social Media Feed App, URL Shortener API, Expense Tracker App, Authentication System (JWT + Roles), Multi-page React App, Portfolio with Contact Form"
Full Stack Developer,Advanced,"System Design Basics, Microservices Architecture, Monolith vs Microservices, Service Decomposition, API Gateway Pattern, Service Communication (REST, gRPC), Event-Driven Architecture (Kafka, RabbitMQ), Asynchronous Processing, Load Balancing, Service Discovery, Circuit Breaker (Resilience Patterns), Advanced Backend Architecture (Node.js, Express), GraphQL API Design, Advanced Security (OAuth2, JWT, Encryption, XSS/CSRF), Performance Optimization (Caching, Query Tuning, Code Profiling), Database Scaling & Replication (SQL/NoSQL), CI/CD Pipelines (GitHub Actions, Jenkins), Docker Advanced, Docker Compose, Kubernetes Basics (Pods, Deployments, Services), Cloud Deployment (AWS EC2/S3, Firebase, GCP), Logging & Monitoring (ELK Stack, Prometheus, Grafana), Testing (Unit, Integration, E2E, Load Testing), Progressive Web Apps (PWA), WebSockets & Real-time Apps, Internationalization (i18n), Accessibility (WCAG/ARIA), Micro Frontends, Feature-based Architecture, Design Patterns, Clean Architecture, Code Optimization, Observability & Distributed Tracing, Disaster Recovery Strategies","Apply for Jobs + Build Production-Ready Scalable Applications","Microservices E-commerce System (API Gateway + Services), Real-time Chat Platform (WebSockets + Scaling), Multi-tenant SaaS Application, Event-driven Banking System, GraphQL Backend + React Frontend Project, Admin Analytics Dashboard, High-traffic Blog Platform, CI/CD + Docker + Cloud Deployment Project, Real-time Collaboration App (Docs/Tasks), URL Shortener with Analytics, PWA E-commerce App, Enterprise Dashboard with Monitoring & Alerts"

Cloud Engineer,Beginner,"Linux Basics (Commands, File System, Users & Permissions, Shell Scripting Basics), Networking Fundamentals (IP, DNS, HTTP, TCP/IP, Ports, Firewalls), Virtualization Concepts (VMware, VirtualBox, Hyper-V), Cloud Fundamentals (IaaS, PaaS, SaaS), Introduction to AWS, Compute Basics (EC2 Introduction), Storage Basics (S3), IAM Fundamentals (Users, Groups, Policies), Monitoring Basics, Security Basics, Version Control (Git), CLI Basics, Basic Troubleshooting, Environment Variables, Package Management (apt, yum), File Transfer (SCP, SFTP), Networking Commands (ping, traceroute, netstat)","Learn AWS Services + Setup Cloud Environment","Personal Website Hosting on EC2, Static Website on S3, Simple File Storage System, Linux VM Setup Project, Basic Cloud Monitoring Dashboard, CLI Automation Scripts, IAM User Management Lab, DNS Setup for Domain, Static Blog Hosting (S3 + CloudFront)"
Cloud Engineer,Intermediate,"AWS Core Services (EC2, S3, RDS, VPC, IAM, Lambda Basics), Docker (Containers, Images, Dockerfile, Compose), CI/CD Pipelines (GitHub Actions, Jenkins Basics), Infrastructure as Code (Terraform Basics, CloudFormation Intro), Monitoring & Logging (CloudWatch, Metrics, Alarms), Load Balancing (ELB, Target Groups), Auto Scaling Basics, Networking in Cloud (Subnets, Security Groups, Route Tables), Backups & Snapshots, Environment Variables & Secrets Management, Security Best Practices (IAM Policies, Roles), Basic Automation Scripts, Python for Cloud Automation, API Integration with AWS Services, Cost Management Basics, Elastic Beanstalk, S3 Versioning & Lifecycle Rules, Database Integration (RDS MySQL/PostgreSQL)","Build Cloud Projects + Deploy Applications","Deploy Web App on EC2 (Node/React), S3 + CloudFront Static Website, Dockerized Application Deployment, Auto-Scaling App with Load Balancer, CI/CD Pipeline for Full Stack App, Terraform Infrastructure for Test Environment, RDS + App Integration Project, Lambda Function Automation (Email Notification), Cloud Monitoring Dashboard (CloudWatch), Backup & Restore Demo Project"
Cloud Engineer,Advanced,"Kubernetes (Pods, Services, Deployments, ConfigMaps, Secrets, Helm Charts), Auto Scaling (HPA/VPA), High Availability Architecture (Multi-AZ, Load Balancers), Serverless Advanced (AWS Lambda, API Gateway, Step Functions), Advanced Networking (VPC Peering, NAT, VPN, Route 53 Advanced), Security (IAM Policies, Roles, KMS Encryption, Key Management), DevOps Practices (CI/CD Advanced, Blue-Green, Canary Deployment), Multi-Cloud Strategy (AWS + GCP + Azure), Disaster Recovery & Backup Strategies, Monitoring & Observability (Prometheus, Grafana, ELK Stack), Logging Best Practices, Cloud Cost Optimization, Container Orchestration (K8s Advanced), Infrastructure as Code Advanced (Terraform Modules, Terragrunt), Secrets Management (Vault, Parameter Store), API Security, Cloud Compliance (ISO, SOC2, GDPR), Cloud Native Application Design, Edge Computing Basics, Service Mesh (Istio/Linkerd), Load Testing & Performance Optimization, Cloud Automation Scripting, Advanced Storage Solutions (EBS, EFS, S3 Lifecycle & Glacier)","Apply for Cloud Engineer Roles + Build Scalable Production Systems","Kubernetes Multi-Service Deployment Project, Serverless Application with Lambda + API Gateway, High Availability Multi-AZ Web App, Multi-Cloud Deployment (AWS + GCP), Disaster Recovery Simulation, CI/CD Pipeline with Blue-Green Deployment, Real-Time Monitoring Dashboard (Prometheus + Grafana), Containerized Microservices App, Secure IAM Policy Implementation Project, Automated Cloud Infrastructure with Terraform + Modules, Edge Computing Prototype App, Cloud Cost Optimization Project, Advanced Logging & Observability System, Data Backup & Restore Automation, Cloud SaaS Multi-Tenant Application"

Cyber Security Analyst,Beginner,"Networking Basics (TCP/IP, OSI Model, Ports, Protocols, Subnetting), OS Concepts (Windows, Linux, File Systems, Processes, Users), Security Fundamentals (CIA Triad, Threats, Vulnerabilities, Risk Assessment), Cryptography Basics (Symmetric, Asymmetric, Hashing, SSL/TLS), Linux Basics (Commands, Permissions, Shell Scripting), Firewalls, VPN Basics, Security Policies, Password Security, Authentication Concepts, Network Scanning Basics, Packet Analysis Intro, Malware Types, Security Tools Overview, Incident Response Basics, Security Best Practices, Vulnerability Concepts, Backup & Recovery Fundamentals, Git Basics, Logging & Monitoring Basics","Learn Ethical Hacking + Security Fundamentals","Set up Home Lab (Virtual Machines), Packet Sniffing with Wireshark, Vulnerability Scanning with Nmap, Basic Linux Hardening Project, Password Strength Testing, Simple Encryption/Decryption Project, Firewall Configuration Demo, Secure File Storage Practice, Network Mapping Lab, Personal Security Audit Checklist"
Cyber Security Analyst,Intermediate,"Penetration Testing (PT Methodology, Reconnaissance, Scanning, Exploitation, Reporting), Vulnerability Assessment (Web Apps, Network Devices, Systems), Security Tools (Nmap, Burp Suite, OWASP ZAP, Nikto), Web Security (SQL Injection, XSS, CSRF, Security Headers, OWASP Top 10), SIEM Tools (Splunk, ELK), Incident Response & Forensics Basics, Log Analysis, Threat Modeling, Network Security Monitoring, Malware Analysis Basics, Authentication & Authorization Testing, Secure Coding Practices, Risk Management, VPN & Proxy Configurations, Exploit Development Basics, Scripting for Security (Python, Bash), Social Engineering Awareness, Security Patch Management, Endpoint Security, Email Security, Advanced Linux Hardening, Cloud Security Basics, API Security","Build Security Projects + Real-World Testing","Web App Penetration Test (OWASP Labs), Vulnerability Assessment Report, Phishing Simulation Lab, Log Analysis Project (SIEM), Password Cracking Practice (Hashcat), Secure REST API Testing, Network Scanning & Exploitation Lab, Malware Analysis (Safe Lab Environment), Cloud Security Hardening Project, Capture The Flag (CTF) Challenges, Endpoint Security Audit, Security Automation Scripts, Wi-Fi Penetration Testing Lab, Secure Configuration Project"
Cyber Security Analyst,Advanced,"Advanced Threat Analysis (APT, Threat Hunting, Indicators of Compromise), Cloud Security (AWS, Azure, GCP Security, IAM Policies, KMS, Cloud Logging), Malware Analysis & Reverse Engineering (PE Analysis, Sandbox Testing), Digital Forensics (Disk Imaging, Memory Forensics, File Recovery), Zero Trust Architecture (Identity, Microsegmentation, Least Privilege), Security Automation (SIEM Automation, Security Orchestration), Incident Response Planning, Security Compliance (ISO 27001, SOC2, GDPR, NIST), Penetration Testing Advanced (Red Teaming, Advanced Exploits), API Security Testing, Advanced Network Security (IDS/IPS, Firewalls, VPNs), Threat Intelligence Analysis, Advanced Cryptography (PKI, Certificates, HSMs), Cybersecurity Architecture Review, Disaster Recovery Planning, Risk Management Frameworks, Continuous Security Monitoring, SOC Operations, Cloud Native Security, Security Metrics & Reporting, Security Awareness Training Programs","Apply for Cyber Security Roles + Enterprise-Level Security Projects","Red Teaming Simulation Project, Advanced Threat Hunting Lab, Cloud Security Architecture Project, Malware Reverse Engineering Lab, Digital Forensics Case Study, Zero Trust Deployment Simulation, Security Automation Pipeline Project, Enterprise Compliance Audit (ISO/GDPR), Threat Intelligence Dashboard, SOC Lab Setup & Monitoring, Advanced Penetration Testing Lab, Secure API & Microservices Project, Disaster Recovery Drill, Multi-Layered Security Architecture Implementation, Incident Response Simulation"

MBA Finance,Beginner,"Accounting Basics (Debits/Credits, Journals, Ledgers), Financial Statements (P&L, Balance Sheet, Cash Flow), Excel Basics (Formulas, Functions, Charts), Ratio Analysis (Liquidity, Profitability, Efficiency, Solvency), Business Finance Fundamentals, Cost Concepts, Budgeting Basics, Time Value of Money, Interest Calculations, Financial Terminology, Basic Forecasting, Introduction to Financial Software (Tally/ERP), Data Handling in Excel, Scenario Analysis, Break-even Analysis, Excel Shortcuts, Pivot Tables, Conditional Formatting, Data Visualization, Basic Accounting Software Usage, Financial Record Keeping","Learn Financial Modeling + Excel Skills","Personal Budget Tracker, Simple P&L and Balance Sheet Preparation, Break-even Analysis Project, Ratio Analysis Dashboard (Excel), Loan Interest Calculator, Small Business Cash Flow Simulation, Expense Tracking System, Mini Financial Statement Analysis, Basic Investment Tracker, Revenue vs Expense Visualization"
MBA Finance,Intermediate,"Financial Modeling (Excel-based, Scenario & Sensitivity Analysis), Valuation Techniques (DCF, Comparable Companies, Precedent Transactions), Risk Analysis & Management (Market Risk, Credit Risk, Operational Risk), Corporate Finance (Capital Structure, Cost of Capital, Dividend Policy), Budgeting & Forecasting (Top-down & Bottom-up), Advanced Excel (Macros, VBA, Solver, What-if Analysis), Financial Reporting Standards, Portfolio Concepts, Capital Budgeting (NPV, IRR, Payback Period), Debt & Equity Financing, Financial Ratios Advanced, Business Case Analysis, M&A Basics, Excel Dashboard Automation, KPI Analysis, Financial Statement Forecasting, Variance Analysis, Sensitivity & Scenario Analysis, Investment Appraisal, Reporting Techniques, Scenario Modeling, Data Validation & Cleaning, Excel Charts & Graphs Advanced","Build Finance Projects + Case Studies","DCF Valuation of Company, Corporate Budget Forecast Model, Risk Analysis Dashboard, Portfolio Performance Tracker, Investment Feasibility Project, M&A Case Study Analysis, Loan Portfolio Simulation, Capital Budgeting Project (NPV & IRR), Advanced Financial Dashboard, Business Plan Financial Projection, Sensitivity Analysis of Revenues & Costs, Expense vs Revenue Forecast Dashboard, Forecasting Sales Model"
MBA Finance,Advanced,"Investment Banking (Equity, Debt, IPOs, Bonds), Portfolio Management (Asset Allocation, Risk-adjusted Returns, Diversification, Modern Portfolio Theory), Derivatives (Options, Futures, Swaps, Hedging Techniques), Mergers & Acquisitions (Deal Structuring, Valuation, Due Diligence), Financial Strategy & Planning, Market Analysis (Equity, Debt, Forex, Commodities), Corporate Governance, Advanced Risk Management, Alternative Investments (Private Equity, Hedge Funds, Real Estate), Structured Finance, Regulatory Compliance, Financial Engineering, Capital Markets Operations, Strategic Financial Decision-making, Advanced Excel & VBA for Modeling, Scenario & Monte Carlo Simulation, Business Valuation Techniques, Investment Research & Analysis, Financial Statement Analysis Advanced, Asset Management Strategies, Financial Planning & Forecasting, Investor Reporting, Portfolio Optimization, Stress Testing & Risk Simulation, Tax Planning & Regulatory Impact, Global Financial Markets & Instruments","Apply for Finance Roles + Enterprise Projects + Portfolio Building","IPO Valuation Project, Portfolio Optimization Simulation, M&A Deal Modeling, Derivatives Trading Simulation, Investment Research & Analysis Dashboard, Corporate Financial Strategy Case Study, Hedge Fund Portfolio Management Project, Structured Finance Modeling, Advanced Risk Assessment Project, Multi-Asset Investment Dashboard, Capital Markets Simulation, Tax & Regulatory Impact Simulation, Stress Test & Scenario Modeling, Global Market Analysis Report, Financial Strategy for Enterprise Project"

